Date,Value
"June 30, 2018",4.002B
"March 31, 2018",3.409B
"December 31, 2017",3.288B
"September 30, 2017",2.985B
"June 30, 2017",2.790B
"March 31, 2017",2.696B
"December 31, 2016",2.285B
"September 30, 2016",2.298B
"June 30, 2016",1.270B
"March 31, 2016",1.147B
"December 31, 2015",1.214B
"September 30, 2015",936.79M
"June 30, 2015",954.98M
"March 31, 2015",939.88M
"December 31, 2014",956.66M
"September 30, 2014",851.80M
"June 30, 2014",769.35M
"March 31, 2014",620.54M
"December 31, 2013",615.22M
"September 30, 2013",431.35M
"June 30, 2013",405.14M
"March 31, 2013",561.79M
"December 31, 2012",306.33M
"September 30, 2012",50.10M
"June 30, 2012",26.65M
