Date,Value
"September 30, 2024",25.18B
"June 30, 2024",25.50B
"March 31, 2024",21.30B
"December 31, 2023",25.17B
"September 30, 2023",23.35B
"June 30, 2023",24.93B
"March 31, 2023",23.33B
"December 31, 2022",24.32B
"September 30, 2022",21.45B
"June 30, 2022",16.93B
"March 31, 2022",18.76B
"December 31, 2021",17.72B
"September 30, 2021",13.76B
"June 30, 2021",11.96B
"March 31, 2021",10.39B
"December 31, 2020",10.74B
"September 30, 2020",8.771B
"June 30, 2020",6.036B
"March 31, 2020",5.985B
"December 31, 2019",7.384B
"September 30, 2019",6.303B
"June 30, 2019",6.35B
"March 31, 2019",4.541B
"December 31, 2018",7.226B
"September 30, 2018",6.824B
